date,pm25, o3, no2, co
2023-04-01,47, 34, 15, 3
2023-04-02,43, 37, 5, 1
2023-04-03,18, 42, 17, 2
2023-04-04,27, 26, 24, 4
2023-04-05,47, 30, 9, 2
2023-04-06,47, 86, 19, 3
2023-04-07,52, 35, 6, 2
2023-04-08,22, 36, 9, 1
2023-04-09,23, 36, 13, 2
2023-04-10,31, 38, 21, 2
2023-04-11,38, 42, 17, 2
2023-04-12,38, 46, 11, 2
2023-04-13,41, 57, 17, 2
2023-04-14,51, 47, 20, 3
2023-04-15,58, 82, 12, 2
2023-04-16,31, 29, 10, 2
2023-04-17,39, 36, 9, 2
2023-04-18,39, 33, 7, 1
2023-04-19,23, 38, 11, 2
2023-04-20,30, 28, 15, 2
2023-04-21,39, 38, 17, 2
2023-04-22,43, 29, 5, 2
2023-04-23,57, 36, 7, 2
2023-04-24,20, 35, 8, 2
2023-04-25,15, 32, 11, 2
2023-04-26,26, 37, 14, 2
2023-04-27,40, 33, 17, 2
2023-04-28,51, 37, 12, 2
2023-04-29,43, 32, 6, 1
2023-04-30,25, 27, 9, 2
2023-05-01,25, 57, 9, 2
2023-05-02,19, 20, 11, 2
2023-05-03,15, 79, 10, 2
2023-05-04,17, 23, 15, 2
2023-05-05,30, 25, 17, 2
2023-05-06,37, 31, 16, 2
2023-05-07,31, 36, 8, 1
2023-05-08,29, 36, 6, 1
2023-05-09,24, 35, 10, 1
2023-05-10,28, 39, 16, 2
2023-05-11,35, 46, 14, 1
2023-05-12,55, 50, 16, 2
2023-05-13,66, 46, 10, 1
2023-05-14,52, 34, 3, 1
2023-05-15,29, 39, 8, 1
2023-05-16,14, 46, 11, 1
2023-05-17,40, 35, 4, 
2023-05-18,29, 32, 8, 1
2023-05-19,23, 36, 12, 1
2023-05-20,28, 20, 11, 2
2023-05-21,31, 31, 6, 2
2023-05-22,48, 32, 12, 2
2023-05-23,63, 74, 9, 1
2023-05-24,44, 32, 20, 2
2023-05-25,40, 28, 4, 1
2023-05-26,19, 35, 9, 1
2023-05-27,25, 45, 9, 1
2023-05-28,29, 39, 13, 2
2023-05-29,27, 39, 11, 2
2023-05-30,44, 33, 6, 1
2023-05-31,63, 34, 12, 2
2023-06-01,49, 51, 19, 3
2023-06-02,59, 72, 25, 4
2023-06-03,65, 27, 6, 1
2023-06-04,48, 26, 3, 1
2023-06-05,22, 32, 5, 1
2023-06-06,37, 43, 10, 4
2023-06-07,163, 32, 9, 7
2023-06-08,247, 30, 9, 6
2023-06-09,168, 26, 7, 1
2023-06-10,53, 30, 6, 1
2023-06-11,49, 51, 18, 4
2023-06-12,91, 40, 10, 2
2023-06-13,77, 46, 5, 1
2023-06-14,34, 37, 13, 2
2023-06-15,41, 34, 6, 1
2023-06-16,33, 45, 17, 2
2023-06-17,47, 37, 5, 2
2023-06-18,81, 31, 3, 2
2023-06-19,57, 38, 6, 2
2023-06-20,35, 33, 6, 1
2023-06-21,32, 25, 3, 1
2023-06-22,18, 26, 4, 1
2023-06-23,20, 15, 13, 2
2023-06-24,31, 28, 12, 2
2023-06-25,37, 39, 13, 3
2023-06-26,45, 34, 13, 2
2023-06-27,45, 42, 14, 2
2023-06-28,42, 39, 10, 4
2023-06-29,54, 45, 10, 7
2023-06-30,105, 81, 21, 8
2023-07-01,151, 66, 10, 6
2023-07-02,106, 44, 7, 4
